koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec
1,1.0,0,0,0,0.146,35.8,5455.0,4.467,291.93423,48.141651
1,0.969,0,0,0,0.586,25.8,5455.0,4.467,291.93423,48.141651
0,0.0,0,0,0,0.969,76.3,5853.0,4.544,297.00482,48.134129
2,0.0,0,1,0,1.276,505.6,5805.0,4.564,285.53461,48.28521
1,1.0,0,0,0,0.701,40.9,6031.0,4.438,288.75488,48.2262
1,1.0,0,0,0,0.538,66.5,6046.0,4.486,296.28613,48.22467
1,1.0,0,0,0,0.762,40.2,6046.0,4.486,296.28613,48.22467
1,0.992,0,0,0,0.755,15.0,6046.0,4.486,296.28613,48.22467
2,0.0,0,1,1,1.169,47.7,6227.0,3.986,298.86435,42.151569
1,1.0,0,0,0,0.052,161.9,5031.0,4.485,286.99948,48.37579
1,0.811,0,0,0,0.818,4304.3,5820.0,4.457,286.80847,49.316399
1,1.0,0,1,0,0.224,5945.9,6440.0,4.019,292.24728,47.969521
1,0.998,0,0,0,0.631,1741.5,6225.0,4.169,281.28812,42.45108
1,1.0,0,0,0,0.051,50.6,5833.0,4.407,295.64871,48.49556
2,0.0,0,1,0,2.483,622.1,5795.0,4.554,297.07993,47.597401
2,0.0,0,1,0,0.804,214.7,5043.0,4.591,289.25821,47.635319
2,0.0,0,1,0,1.065,2317.0,6117.0,4.496,295.81454,47.69035
2,0.0,0,1,0,0.292,303.4,5152.0,4.517,297.15442,47.668701
1,1.0,0,0,0,0.387,87.2,4856.0,4.583,288.13824,47.724449
1,1.0,0,0,0,0.258,65.4,4537.0,4.648,283.71088,47.86327
2,0.0,0,1,1,0.044,48.2,4989.0,4.504,283.76547,47.804298
1,1.0,0,0,0,0.092,60.6,5185.0,4.44,292.37613,47.880989
1,0.98,0,0,0,0.226,28.9,5185.0,4.44,292.37613,47.880989
1,0.971,0,0,0,0.025,14.1,5185.0,4.44,292.37613,47.880989
2,0.4808294015396076,0,1,0,0.9765,994.0,5543.0,4.081,292.27374,37.671558
1,1.0,0,0,0,0.896,34.3,4954.0,4.5,290.46512,47.92918
1,1.0,0,0,0,0.71,28.2,5339.0,4.552,297.80826,47.946671
1,1.0,0,0,0,0.424,61.8,5644.0,4.564,294.26581,49.314091
2,0.0,0,0,1,0.86,181.1,5714.0,4.563,295.66522,49.351009
2,0.0,0,1,1,0.701,642.7,5520.0,4.466,296.69861,49.316479
2,0.0,0,1,0,1.248,85.3,6144.0,4.402,283.72592,49.479519
1,1.0,0,0,0,0.468,34.7,5481.0,4.369,291.72202,49.480869
1,0.992,0,0,0,0.045,51.2,5031.0,4.485,286.99948,48.37579
1,1.0,0,0,0,0.105,47.1,5031.0,4.485,286.99948,48.37579
1,1.0,0,0,0,0.799,33.2,5015.0,4.499,297.02563,48.478588
