source,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec,koi_disposition,probability
TRAPSIT,0.0,0,0,1,1.008,60.7,6092.0,4.453,288.51645,41.381962,2,0.0
TRAPSIT,0.0,0,1,1,0.547,11.4,6168.0,3.75,297.13702,39.891842,2,0.0
TRAPSIT,0.0,0,0,1,0.134,18.0,5193.0,4.535,299.78946,44.171001,2,0.0
TRAPSIT,0.131,0,0,1,0.042,8.4,5780.0,4.438,294.85565,42.790672,2,0.0
TRAPSIT,0.0,1,0,1,1.185,110.6,6388.0,4.284,292.60968,45.708881,2,0.0
TRAPSIT,0.854,0,0,0,0.754,9.7,5757.0,4.431,291.77164,47.5299,2,0.0
TRAPSIT,0.0,0,1,1,0.038,36.0,5718.0,4.549,298.8461,43.403519,2,0.0
TRAPSIT,0.0,0,1,1,0.415,38.4,6063.0,4.476,288.08798,43.208172,2,0.0
TRAPSIT,0.0,0,1,1,1.244,244.1,5176.0,4.636,299.33234,40.69503,2,0.0
TRAPSIT,0.0,1,0,0,1.246,160.1,6487.0,3.696,295.73996,38.862282,2,0.0
TRAPSIT,0.188,0,0,1,0.905,48.2,5725.0,4.148,285.90607,49.287521,2,0.0
TRAPSIT,0.0,0,1,1,1.223,119.0,5798.0,4.589,294.34216,39.562359,2,0.0
TRAPSIT,1.0,0,1,0,0.918,1109.7,6309.0,4.199,294.19211,39.618999,2,0.0
TRAPSIT,0.0,0,1,1,0.964,27.4,6215.0,4.44,292.79404,40.074581,2,0.0
TRAPSIT,0.0,0,1,0,1.173,488.5,6197.0,4.449,293.02615,40.073051,2,0.0
TRAPSIT,0.981,0,0,0,0.982,14.2,5621.0,4.514,296.68945,49.44677,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,291.97382,48.26231,2,0.0
TRAPSIT,0.0,1,0,1,0.589,11.7,6268.0,4.429,297.53055,48.38747,2,0.0
TRAPSIT,0.984,0,0,0,0.105,13.3,3526.0,4.866,286.54001,49.437328,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.3064,29.3,5834.0,4.577,288.24615,43.135841,2,0.0
TRAPSIT,0.0,0,0,1,0.38,18.7,6249.0,4.428,289.25012,41.484871,2,0.0
TRAPSIT,1.0,0,0,0,0.137,12.6,5376.0,4.616,285.20944,46.540909,2,0.0
TRAPSIT,1.0,0,0,0,0.049,9.6,2703.0,5.274,292.50378,41.830421,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,297.15662,40.898788,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,281.11948,42.9944,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,286.65024,47.242329,2,0.0
TRAPSIT,0.999,0,0,0,0.343,22.7,5970.0,4.317,284.4335,49.305161,2,0.0
TRAPSIT,0.916,0,0,0,0.156,19.2,5970.0,4.317,284.4335,49.305161,2,0.0
TRAPSIT,0.0,0,1,1,1.242,151.7,6455.0,4.41,288.17081,43.501202,2,0.0
TRAPSIT,0.0,0,1,1,0.329,23.0,5072.0,4.606,289.20413,46.133911,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,292.44772,47.858952,2,0.0
TRAPSIT,0.0,0,1,1,0.388,21.7,5747.0,4.508,296.23697,43.014149,2,0.0
TRAPSIT,0.0,0,1,0,0.005,29.3,5088.0,4.58,287.73572,42.823421,2,0.0
TRAPSIT,0.999,0,0,0,0.887,17.9,5552.0,4.349,298.29819,42.434368,2,0.0
TRAPSIT,0.133,0,0,1,0.81,25.0,6173.0,4.39,285.5463,48.410851,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.0125,21.2,5552.0,4.555,283.97751,44.811562,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,290.91119,38.335579,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.1653,7.6,5537.0,3.949,287.57117,42.813919,2,0.0
TRAPSIT,1.0,0,0,0,0.244,16.7,5029.0,4.429,284.34274,46.316551,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,291.95999,44.900021,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,286.71564,48.645279,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,297.29269,48.11438,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.8826,5.5,5825.0,4.504,290.17618,46.698341,2,0.0
TRAPSIT,0.952,0,0,0,0.411,10.9,5495.0,4.442,297.14883,46.296951,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,282.23969,43.244049,2,0.0
TRAPSIT,1.0,0,0,0,0.896,34.2,4580.0,4.641,285.25366,46.582191,2,0.0
TRAPSIT,0.991,0,0,0,0.888,53.5,5791.0,4.185,289.34143,46.988239,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.993904281767956,280.2752762430939,5763.062845303867,4.199489640883978,288.28134,46.637909,2,0.0
TRAPSIT,0.0,0,0,1,0.871,17.0,5754.0,4.348,294.29269,46.159409,2,0.0
TRAPSIT,0.2967892095357591,0,0,0,0.087,9.3,5637.0,4.564,291.38715,46.88168,2,0.0
TRAPSIT,0.0,0,1,0,1.017,304.4,5614.0,4.587,286.92056,41.371151,2,0.0
TRAPSIT,0.0,0,1,1,0.522,22.1,6116.0,4.44,292.01581,42.286572,2,0.0
