kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6032517,K02070.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,1.791406261,2.7100000e-06,-2.7100000e-06,132.9950300,1.250000e-03,-1.250000e-03,1.0080,0.6820,-0.0320,2.81590,0.06650,-0.06650,3.4550e+02,7.200e+00,-7.200e+00,4.51,1.500e+00,-5.000e-01,1579.0,,,1466.90,1428.09,-453.62,60.70,1,q1_q17_dr25_tce,6092.00,165.00,-202.00,4.453,0.056,-0.224,1.0280,0.3410,-0.1140,288.516450,41.381962,14.574
4768846,K02077.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,1.254832320,1.2430000e-05,-1.2430000e-05,132.1863300,8.060000e-03,-8.060000e-03,0.5470,0.0500,-0.4500,2.67000,0.29700,-0.29700,1.1760e+02,1.370e+01,-1.370e+01,2.89,4.600e-01,-1.080e+00,2748.0,,,13493.55,6742.33,-8741.95,11.40,1,q1_q17_dr25_tce,6168.00,170.00,-170.00,3.750,0.308,-0.082,2.5720,0.4110,-0.9580,297.137020,39.891842,13.298
8260234,K02085.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,5.714838730,3.4630000e-05,-3.4630000e-05,132.1304600,5.350000e-03,-5.350000e-03,0.1340,0.3260,-0.1340,2.74800,0.14800,-0.14800,2.8620e+02,1.790e+01,-1.790e+01,1.26,1.800e-01,-1.400e-01,842.0,,,118.73,56.57,-33.59,18.00,1,q1_q17_dr25_tce,5193.00,155.00,-139.00,4.535,0.090,-0.108,0.7550,0.1100,-0.0800,299.789460,44.171001,14.167
7210749,K07828.01,,FALSE POSITIVE,FALSE POSITIVE,0.1310,0,0,1,0,17.585947200,2.9000000e-04,-2.9000000e-04,138.7798000,1.570000e-02,-1.570000e-02,0.0420,0.4100,-0.0410,3.81500,0.40200,-0.40200,5.0950e+02,7.070e+01,-7.070e+01,2.24,0.000e+00,0.000e+00,700.0,,,56.81,0.00,0.00,8.40,1,q1_q17_dr25_tce,5780.00,,,4.438,,,1.0000,,,294.855650,42.790672,13.700
9282769,K03959.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,1,1.332567005,2.2620000e-06,-2.2620000e-06,132.0492000,1.420000e-03,-1.420000e-03,1.1850,0.1860,-0.1170,6.33730,0.08100,-0.08100,4.0130e+02,4.500e+00,-4.500e+00,27.36,8.440e+00,-4.540e+00,2007.0,,,3837.83,3400.73,-1470.49,110.60,1,q1_q17_dr25_tce,6388.00,157.00,-189.00,4.284,0.149,-0.182,1.2230,0.3770,-0.2030,292.609680,45.708881,13.406
10404582,K02147.02,Kepler-362 b,CONFIRMED,CANDIDATE,0.8540,0,0,0,0,10.327363510,8.1930000e-05,-8.1930000e-05,139.3722800,6.060000e-03,-6.060000e-03,0.7540,0.2080,-0.5110,1.88900,0.19500,-0.19500,1.2690e+02,1.530e+01,-1.530e+01,1.25,2.000e-01,-1.000e-01,838.0,,,116.56,48.47,-23.40,9.70,2,q1_q17_dr25_tce,5757.00,78.00,-86.00,4.431,0.054,-0.126,1.0170,0.1610,-0.0800,291.771640,47.529900,14.500
7777416,K03960.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,2.545572590,1.3880000e-05,-1.3880000e-05,132.6987400,4.140000e-03,-4.140000e-03,0.0380,0.4280,-0.0380,5.63600,0.15600,-0.15600,5.2900e+02,1.660e+01,-1.660e+01,1.97,5.600e-01,-1.900e-01,1234.0,,,549.80,470.30,-155.31,36.00,1,q1_q17_dr25_tce,5718.00,169.00,-186.00,4.549,0.035,-0.184,0.8630,0.2460,-0.0820,298.846100,43.403519,15.298
7597005,K03961.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.704541784,1.0270000e-06,-1.0270000e-06,132.1823600,1.070000e-03,-1.070000e-03,0.4150,0.0480,-0.4150,1.07260,0.04860,-0.04860,2.7520e+02,9.800e+00,-9.800e+00,1.72,5.400e-01,-1.800e-01,2121.0,,,4778.23,4558.89,-1501.92,38.40,1,q1_q17_dr25_tce,6063.00,190.00,-232.00,4.476,0.054,-0.216,1.0120,0.3180,-0.1060,288.087980,43.208172,15.192
5479717,K03962.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,0.697996932,4.3000000e-07,-4.3000000e-07,132.1360590,5.490000e-04,-5.490000e-04,1.2440,0.1320,-0.0890,4.33230,0.03670,-0.03670,9.0946e+03,4.760e+01,-4.760e+01,28.06,3.920e+00,-2.300e+00,1604.0,,,1560.69,761.29,-418.21,244.10,1,q1_q17_dr25_tce,5176.00,179.00,-179.00,4.636,0.033,-0.083,0.6950,0.0970,-0.0570,299.332340,40.695030,15.859
3764714,K03963.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,6.634497210,2.5850000e-05,-2.5850000e-05,134.1654500,3.270000e-03,-3.270000e-03,1.2460,0.5250,-0.0830,22.98200,0.19200,-0.19200,9.1910e+02,6.900e+00,-6.900e+00,85.25,1.365e+01,-3.410e+01,1719.0,,,2067.13,1031.16,-1401.08,160.10,1,q1_q17_dr25_tce,6487.00,177.00,-177.00,3.696,0.328,-0.082,2.8170,0.4510,-1.1270,295.739960,38.862282,12.842
11392618,K01623.01,,FALSE POSITIVE,FALSE POSITIVE,0.1880,0,0,1,0,110.921589200,3.5850000e-04,-3.5850000e-04,174.2237400,2.210000e-03,-2.210000e-03,0.9050,0.0240,-0.6380,5.28200,0.11300,-0.11300,4.9800e+02,1.190e+01,-1.190e+01,3.71,5.500e-01,-8.300e-01,443.0,,,9.12,3.81,-4.01,48.20,1,q1_q17_dr25_tce,5725.00,104.00,-104.00,4.148,0.203,-0.101,1.3840,0.2060,-0.3090,285.906070,49.287521,12.037
4474645,K01657.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.886732170,2.0380000e-05,-2.0380000e-05,136.9448900,4.320000e-03,-4.320000e-03,1.2230,0.3040,-0.0720,20.49100,0.40900,-0.40900,7.6170e+02,8.500e+00,-8.500e+00,21.04,5.180e+00,-1.730e+00,1050.0,,,287.40,209.45,-70.45,119.00,1,q1_q17_dr25_tce,5798.00,157.00,-157.00,4.589,0.040,-0.160,0.7670,0.1890,-0.0630,294.342160,39.562359,14.197
4570949,K01658.01,Kepler-76 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,1.544928892,6.3000000e-08,-6.3000000e-08,133.5487914,3.330000e-05,-3.330000e-05,0.9180,0.0030,-0.0030,1.43586,0.00557,-0.00557,5.8173e+03,9.100e+00,-9.100e+00,13.43,2.410e+00,-2.420e+00,1997.0,,,3765.46,1865.84,-1429.20,1109.70,1,q1_q17_dr25_tce,6309.00,114.00,-126.00,4.199,0.149,-0.122,1.4120,0.2540,-0.2540,294.192110,39.618999,13.308
4927315,K01663.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,11.769219230,4.0150000e-05,-4.0150000e-05,138.4122200,2.840000e-03,-2.840000e-03,0.9640,0.0050,-0.6850,3.21900,0.15500,-0.15500,5.1930e+02,2.130e+01,-2.130e+01,3.12,9.900e-01,-3.900e-01,868.0,,,134.04,124.72,-46.48,27.40,1,q1_q17_dr25_tce,6215.00,172.00,-237.00,4.440,0.067,-0.216,1.0520,0.3320,-0.1330,292.794040,40.074581,14.986
4928119,K01664.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,44.638983058,9.6310000e-06,-9.6310000e-06,156.4508700,1.900000e-04,-1.900000e-04,1.1730,0.0960,-0.0580,3.04001,0.00805,-0.00805,3.6830e+04,8.920e+01,-8.920e+01,50.33,1.697e+01,-5.640e+00,551.0,,,21.86,22.36,-7.33,488.50,1,q1_q17_dr25_tce,6197.00,194.00,-259.00,4.449,0.056,-0.224,1.0350,0.3490,-0.1160,293.026150,40.073051,15.510
11518201,K03104.01,,CANDIDATE,CANDIDATE,0.9810,0,0,0,0,1.236866732,4.1080000e-06,-4.1080000e-06,132.1776000,2.620000e-03,-2.620000e-03,0.9820,0.0220,-0.7280,1.24200,0.10500,-0.10500,1.8720e+02,2.000e+01,-2.000e+01,1.75,4.600e-01,-1.900e-01,1569.0,,,1439.30,1153.94,-420.74,14.20,1,q1_q17_dr25_tce,5621.00,169.00,-169.00,4.514,0.058,-0.173,0.8790,0.2330,-0.0930,296.689450,49.446770,15.388
10861608,K03118.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,174.959804750,,,151.1644800,,,,,,5.23000,,,,,,,,,,,,,,,,,,,,,,,,,,,291.973820,48.262310,15.246
10934313,K03121.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0,1.926888595,8.4210000e-06,-8.4210000e-06,131.6332300,3.950000e-03,-3.950000e-03,0.5890,0.3860,-0.3890,1.23500,0.17500,-0.17500,1.3000e+02,1.570e+01,-1.570e+01,1.31,4.600e-01,-1.500e-01,1619.0,,,1622.18,1669.96,-537.97,11.70,1,q1_q17_dr25_tce,6268.00,173.00,-239.00,4.429,0.060,-0.240,1.1000,0.3840,-0.1280,297.530550,48.387470,14.809
11497958,K01422.05,Kepler-296 A e,CONFIRMED,CANDIDATE,0.9840,0,0,0,0,34.142050600,2.2890000e-04,-2.2890000e-04,136.0362400,5.590000e-03,-5.590000e-03,0.1050,0.3340,-0.1050,2.94500,0.17900,-0.17900,7.8800e+02,6.310e+01,-6.310e+01,1.06,1.300e-01,-1.600e-01,248.0,,,0.89,0.33,-0.30,13.30,4,q1_q17_dr25_tce,3526.00,71.00,-78.00,4.866,0.066,-0.044,0.3830,0.0480,-0.0580,286.540010,49.437328,15.921
7516809,K03133.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,0.241842544,3.2700000e-07,-3.2700000e-07,131.8681900,1.110000e-03,-1.110000e-03,0.3064,0.1490,-0.3063,0.72570,0.05130,-0.05130,2.0330e+02,1.050e+01,-1.050e+01,1.16,4.000e-01,-9.000e-02,2689.0,,,12357.89,12283.45,-2935.33,29.30,,,5834.00,152.00,-161.00,4.577,0.031,-0.223,0.7970,0.2720,-0.0610,288.246150,43.135841,15.525
6115516,K03134.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,0.865759153,2.3410000e-06,-2.3410000e-06,131.5777100,2.290000e-03,-2.290000e-03,0.3800,0.0760,-0.3800,0.84080,0.07370,-0.07370,1.9160e+02,1.350e+01,-1.350e+01,1.53,5.200e-01,-1.800e-01,2100.0,,,4616.69,4713.14,-1601.66,18.70,1,q1_q17_dr25_tce,6249.00,196.00,-261.00,4.428,0.056,-0.224,1.0760,0.3620,-0.1290,289.250120,41.484871,15.232
9758032,K03137.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,1.332035996,6.9470000e-06,-6.9470000e-06,131.5838600,3.970000e-03,-3.970000e-03,0.1370,0.3290,-0.1370,1.39100,0.12700,-0.12700,1.3680e+02,1.320e+01,-1.320e+01,0.85,1.400e-01,-6.000e-02,1365.0,,,823.09,437.65,-186.16,12.60,1,q1_q17_dr25_tce,5376.00,160.00,-144.00,4.616,0.032,-0.104,0.7300,0.1220,-0.0520,285.209440,46.540909,15.682
