kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10467815,K03191.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,377.889090000,1.2130000e-02,-1.2130000e-02,143.4845000,2.300000e-02,-2.300000e-02,0.1164,0.3290,-0.1163,9.25900,0.71600,-0.71600,9.2800e+01,1.010e+01,-1.010e+01,3.17,1.330e+00,-1.010e+00,606.0,,,31.87,40.38,-19.58,11.60,,,9030.00,272.00,-412.00,3.822,0.243,-0.199,3.2180,1.3480,-1.0240,290.816040,47.682892,11.471
10847721,K03192.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,199.216380000,1.8720000e-02,-1.8720000e-02,293.6619000,4.040000e-02,-4.040000e-02,0.5000,0.0767,-0.4090,9.23000,1.80000,-1.80000,6.2500e+01,1.100e+01,-1.100e+01,2.36,9.800e-01,-6.600e-01,706.0,,,58.73,73.33,-33.29,10.60,,,8914.00,260.00,-399.00,3.896,0.217,-0.218,2.8670,1.1920,-0.7990,285.136570,48.257301,11.472
10118942,K03195.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,121.707470000,1.1820000e-02,-1.1820000e-02,229.2617000,6.960000e-02,-6.960000e-02,0.9778,0.0224,-0.6789,1.37000,2.40000,-2.40000,9.8200e+01,1.770e+01,-1.770e+01,3.02,1.100e-01,-1.100e-01,580.0,,,26.67,3.28,-2.78,6.90,,,6362.00,61.00,-61.00,3.858,0.016,-0.015,2.2700,0.0900,-0.0800,281.122890,47.164890,11.496
9471539,K03198.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,273.528359000,4.6090000e-03,-4.6090000e-03,246.3207000,1.160000e-02,-1.160000e-02,1.3630,0.3110,-0.3229,22.34600,0.63900,-0.63900,4.0850e+02,1.150e+01,-1.150e+01,115.40,3.293e+01,-3.404e+01,557.0,,,22.75,19.52,-13.13,32.10,,,7682.00,229.00,-305.00,3.838,0.235,-0.176,2.7830,0.7940,-0.8210,294.418330,46.038712,11.575
5482603,K03199.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,3.882589050,3.8130000e-05,-3.8130000e-05,134.8211100,6.810000e-03,-6.810000e-03,0.5530,0.0040,-0.4780,2.74100,0.23200,-0.23200,5.7800e+01,5.100e+00,-5.100e+00,0.78,0.000e+00,0.000e+00,1158.0,,,426.41,0.00,0.00,13.20,1,q1_q17_dr25_tce,5780.00,,,4.438,,,1.0000,,,299.873570,40.607719,11.706
2305819,K03201.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,135.571860000,1.3220000e-02,-1.3220000e-02,245.3504000,5.170000e-02,-5.170000e-02,0.2687,0.2103,-0.2687,9.94000,1.60000,-1.60000,4.1200e+01,8.500e+00,-8.500e+00,0.83,3.300e-01,-2.700e-01,439.0,,,8.77,10.26,-5.15,5.70,,,6070.00,167.00,-149.00,4.117,0.347,-0.258,1.2770,0.5050,-0.4140,292.080470,37.674610,11.766
9518710,K03207.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,0.954388314,3.9670000e-06,-3.9670000e-06,132.4453700,3.260000e-03,-3.260000e-03,0.7370,0.2170,-0.6870,6.26000,1.90000,-1.90000,5.7200e+01,6.700e+00,-6.700e+00,2.27,3.800e-01,-7.100e-01,3406.0,,,31694.26,15870.19,-18758.80,56.30,1,q1_q17_dr25_tce,7056.00,169.00,-253.00,3.813,0.259,-0.111,2.7850,0.4690,-0.8710,288.238620,46.118061,11.872
10284575,K03210.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,173.069290000,1.3210000e-02,-1.3210000e-02,221.2582000,2.160000e-02,-2.160000e-02,1.1262,0.4818,-0.1481,12.84000,2.00000,-2.00000,5.7670e+02,6.370e+01,-6.370e+01,30.29,1.781e+01,-6.160e+00,518.0,,,17.08,31.46,-7.97,19.90,,,7296.00,221.00,-310.00,4.103,0.124,-0.338,1.8180,1.0690,-0.3700,295.831940,47.393810,11.943
3342952,K03215.01,,FALSE POSITIVE,FALSE POSITIVE,0.0050,0,0,1,0,1.039046871,8.4110000e-06,-8.4110000e-06,131.5427200,6.930000e-03,-6.930000e-03,0.0960,0.3680,-0.0960,1.68900,0.20700,-0.20700,2.4400e+01,3.200e+00,-3.200e+00,0.48,1.000e-01,-7.000e-02,1774.0,,,2348.45,1421.05,-768.84,9.30,1,q1_q17_dr25_tce,5689.00,152.00,-152.00,4.422,0.104,-0.138,0.9760,0.1970,-0.1310,291.650180,38.409370,12.023
10338624,K03222.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,0.607538435,3.9930000e-06,-3.9930000e-06,131.7098900,4.240000e-03,-4.240000e-03,0.9849,0.0000,-0.6835,5.54900,0.30800,-0.30800,3.4900e+01,1.800e+00,-1.800e+00,1.34,9.100e-01,-2.500e-01,3219.0,,,25377.69,53505.20,-10965.57,30.40,2,q1_q17_dr24_tce,7076.00,188.00,-259.00,4.147,0.115,-0.377,1.6910,1.1380,-0.3180,291.497220,47.463509,12.156
